"State","District","Crop","Season","Yield-2021-22","Yield-2022-23","Yield-2023-24"
"Odisha","Anugul","Rice","Kharif","1696.00","1622.00","2332.00"
"Odisha","Anugul","Rice","Rabi","2292.00","3388.00",""
"Odisha","Anugul","Rice","Summer","2471.00","3203.00",""
"Odisha","Anugul","Rice","Total","2268.00","3375.00","2313.00"
"Odisha","Anugul","Maize","Kharif","2471.00","2534.00","2829.00"
"Odisha","Anugul","Maize","Rabi","3160.00","2645.00",""
"Odisha","Anugul","Maize","Summer","2312.00","2322.00","3635.00"
"Odisha","Anugul","Maize","Total","2449.00","2532.00","2907.00"
"Odisha","Anugul","Ragi","Kharif","825.00","718.00","768.00"
"Odisha","Anugul","Ragi","Summer","","546.00",""
"Odisha","Anugul","Ragi","Total","825.00","714.00","768.00"
"Odisha","Anugul","Shree Anna /Nutri Cereals","Kharif","825.00","718.00","768.00"
"Odisha","Anugul","Shree Anna /Nutri Cereals","Summer","","546.00",""
"Odisha","Anugul","Shree Anna /Nutri Cereals","Total","825.00","714.00","768.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Kharif","2459.00","1092.00","1366.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Rabi","3160.00","2645.00",""
"Odisha","Anugul","Nutri/Coarse Cereals","Summer","2312.00","978.00","3635.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Total","2439.00","1100.00","1435.00"
"Odisha","Anugul","Cereals","Kharif","1819.00","1261.00","2323.00"
"Odisha","Anugul","Cereals","Rabi","2292.00","3388.00",""
"Odisha","Anugul","Cereals","Summer","2394.00","3136.00","120.00"
"Odisha","Anugul","Cereals","Total","2270.00","3344.00","2305.00"
"Odisha","Anugul","Urad","Kharif","386.00","415.00","420.00"
"Odisha","Anugul","Urad","Rabi","403.00","410.00",""
"Odisha","Anugul","Urad","Summer","524.00","411.00","409.00"
"Odisha","Anugul","Urad","Total","398.00","412.00","419.00"
"Odisha","Anugul","Moong","Kharif","375.00","377.00","397.00"
"Odisha","Anugul","Moong","Rabi","375.00","376.00",""
"Odisha","Anugul","Moong","Summer","669.00","383.00","377.00"
"Odisha","Anugul","Moong","Total","415.00","377.00","395.00"
"Odisha","Anugul","Other Pulses","Kharif","","","449.00"
"Odisha","Anugul","Other Pulses","Rabi","418.00","429.00",""
"Odisha","Anugul","Other Pulses","Total","418.00","429.00","449.00"
"Odisha","Anugul","Total Pulses","Total","408.00","403.00","417.00"
"Odisha","Anugul","Total Food Grains","Kharif","1218.00","939.00","2192.00"
"Odisha","Anugul","Total Food Grains","Rabi","2215.00","3299.00",""
"Odisha","Anugul","Total Food Grains","Summer","1277.00","2763.00","238.00"
"Odisha","Anugul","Total Food Grains","Total","2131.00","3223.00","2165.00"
"Odisha","Balangir","Rice","Kharif","910.00","1431.00","1815.00"
"Odisha","Balangir","Rice","Rabi","1615.00","2327.00",""
"Odisha","Balangir","Rice","Summer","3556.00","3349.00",""
"Odisha","Balangir","Rice","Total","1430.00","2151.00","1756.00"
"Odisha","Balangir","Maize","Kharif","3474.00","3642.00","3722.00"
"Odisha","Balangir","Maize","Rabi","2777.00","3802.00",""
"Odisha","Balangir","Maize","Summer","2894.00","3350.00","2909.00"
"Odisha","Balangir","Maize","Total","3301.00","3643.00","3715.00"
"Odisha","Balangir","Ragi","Kharif","378.00","288.00","410.00"
"Odisha","Balangir","Ragi","Rabi","298.00","",""
"Odisha","Balangir","Ragi","Total","375.00","288.00","410.00"
"Odisha","Balangir","Shree Anna /Nutri Cereals","Kharif","378.00","288.00","410.00"
"Odisha","Balangir","Shree Anna /Nutri Cereals","Rabi","298.00","",""
"Odisha","Balangir","Shree Anna /Nutri Cereals","Total","375.00","288.00","410.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Kharif","2629.00","3162.00","1748.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Rabi","2648.00","3802.00",""
"Odisha","Balangir","Nutri/Coarse Cereals","Summer","2894.00","3350.00","2909.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Total","2636.00","3171.00","1752.00"
"Odisha","Balangir","Cereals","Kharif","1010.00","1542.00","1814.00"
"Odisha","Balangir","Cereals","Rabi","1624.00","2327.00",""
"Odisha","Balangir","Cereals","Summer","3548.00","3349.00","8.00"
"Odisha","Balangir","Cereals","Total","1461.00","2169.00","1756.00"
"Odisha","Balangir","Urad","Kharif","345.00","322.00","384.00"
"Odisha","Balangir","Urad","Rabi","364.00","338.00",""
"Odisha","Balangir","Urad","Summer","331.00","443.00","339.00"
"Odisha","Balangir","Urad","Total","352.00","343.00","377.00"
"Odisha","Balangir","Moong","Kharif","351.00","334.00","377.00"
"Odisha","Balangir","Moong","Rabi","370.00","368.00",""
"Odisha","Balangir","Moong","Summer","358.00","413.00","354.00"
"Odisha","Balangir","Moong","Total","361.00","367.00","368.00"
