"State","District","Crop","Season","Yield-2013-14","Yield-2014-15"
"Odisha","Baleshwar","Urad","Summer","462.00","383.00"
"Odisha","Baleshwar","Urad","Total","438.00","385.00"
"Odisha","Baleshwar","Moong","Summer","448.00","401.00"
"Odisha","Baleshwar","Moong","Total","448.00","401.00"
"Odisha","Baleshwar","Other Pulses","Rabi","200.00","200.00"
"Odisha","Baleshwar","Other Pulses","Total","200.00","200.00"
"Odisha","Baleshwar","Total Pulses","Total","447.00","400.00"
"Odisha","Baleshwar","Total Food Grains","Kharif","153.00","350.00"
"Odisha","Baleshwar","Total Food Grains","Rabi","846.00","2000.00"
"Odisha","Baleshwar","Total Food Grains","Summer","3578.00","3456.00"
"Odisha","Baleshwar","Total Food Grains","Total","1241.00","2266.00"
"Odisha","Bargarh","Rice","Kharif","1213.00","1930.00"
"Odisha","Bargarh","Rice","Rabi","1878.00","2787.00"
"Odisha","Bargarh","Rice","Summer","3917.00","3987.00"
"Odisha","Bargarh","Rice","Total","2280.00","2925.00"
"Odisha","Bargarh","Wheat","Summer","1300.00","1200.00"
"Odisha","Bargarh","Wheat","Total","1300.00","1200.00"
"Odisha","Bargarh","Maize","Kharif","1714.00","1153.00"
"Odisha","Bargarh","Maize","Rabi","","2400.00"
"Odisha","Bargarh","Maize","Summer","1956.00","2323.00"
"Odisha","Bargarh","Maize","Total","1734.00","1279.00"
"Odisha","Bargarh","Ragi","Kharif","","800.00"
"Odisha","Bargarh","Ragi","Total","","800.00"
"Odisha","Bargarh","Shree Anna /Nutri Cereals","Kharif","","800.00"
"Odisha","Bargarh","Shree Anna /Nutri Cereals","Total","","800.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Kharif","1714.00","1150.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Rabi","","2400.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Summer","1956.00","2323.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Total","1734.00","1275.00"
"Odisha","Bargarh","Cereals","Kharif","1214.00","1928.00"
"Odisha","Bargarh","Cereals","Rabi","1878.00","2787.00"
"Odisha","Bargarh","Cereals","Summer","3916.00","3986.00"
"Odisha","Bargarh","Cereals","Total","2280.00","2924.00"
"Odisha","Bargarh","Urad","Kharif","342.00","223.00"
"Odisha","Bargarh","Urad","Rabi","362.00","267.00"
"Odisha","Bargarh","Urad","Summer","400.00","433.00"
"Odisha","Bargarh","Urad","Total","342.00","224.00"
"Odisha","Bargarh","Moong","Kharif","326.00","190.00"
"Odisha","Bargarh","Moong","Rabi","283.00","292.00"
"Odisha","Bargarh","Moong","Summer","383.00","375.00"
"Odisha","Bargarh","Moong","Total","329.00","207.00"
"Odisha","Bargarh","Other Pulses","Rabi","315.00","283.00"
"Odisha","Bargarh","Other Pulses","Total","315.00","283.00"
"Odisha","Bargarh","Total Pulses","Total","333.00","215.00"
"Odisha","Bargarh","Total Food Grains","Kharif","957.00","1442.00"
"Odisha","Bargarh","Total Food Grains","Rabi","1868.00","2776.00"
"Odisha","Bargarh","Total Food Grains","Summer","3881.00","3919.00"
"Odisha","Bargarh","Total Food Grains","Total","2130.00","2723.00"
"Odisha","Bhadrak","Rice","Rabi","1448.00","1405.00"
"Odisha","Bhadrak","Rice","Summer","2667.00","1833.00"
"Odisha","Bhadrak","Rice","Total","1470.00","1421.00"
"Odisha","Bhadrak","Wheat","Summer","970.00","1167.00"
"Odisha","Bhadrak","Wheat","Total","970.00","1167.00"
"Odisha","Bhadrak","Maize","Summer","1400.00","4713.00"
"Odisha","Bhadrak","Maize","Total","1400.00","4713.00"
"Odisha","Bhadrak","Nutri/Coarse Cereals","Summer","1400.00","4713.00"
"Odisha","Bhadrak","Nutri/Coarse Cereals","Total","1400.00","4713.00"
"Odisha","Bhadrak","Cereals","Rabi","1448.00","1405.00"
"Odisha","Bhadrak","Cereals","Summer","2654.00","1837.00"
"Odisha","Bhadrak","Cereals","Total","1470.00","1421.00"
"Odisha","Bhadrak","Urad","Kharif","500.00",""
"Odisha","Bhadrak","Urad","Rabi","532.00","675.00"
"Odisha","Bhadrak","Urad","Summer","483.00","540.00"
"Odisha","Bhadrak","Urad","Total","528.00","668.00"
"Odisha","Bhadrak","Moong","Rabi","682.00",""
"Odisha","Bhadrak","Moong","Summer","563.00","512.00"
"Odisha","Bhadrak","Moong","Total","564.00","512.00"
"Odisha","Bhadrak","Other Pulses","Summer","200.00",""
"Odisha","Bhadrak","Other Pulses","Total","200.00",""
"Odisha","Bhadrak","Total Pulses","Total","554.00","568.00"
"Odisha","Bhadrak","Total Food Grains","Kharif","500.00",""
"Odisha","Bhadrak","Total Food Grains","Rabi","1442.00","1395.00"
"Odisha","Bhadrak","Total Food Grains","Summer","1593.00","1295.00"
"Odisha","Bhadrak","Total Food Grains","Total","1448.00","1389.00"
"Odisha","Boudh","Rice","Kharif","1143.00","1400.00"
"Odisha","Boudh","Rice","Rabi","1864.00","2396.00"
"Odisha","Boudh","Rice","Summer","2000.00","3000.00"
"Odisha","Boudh","Rice","Total","1794.00","2322.00"
"Odisha","Boudh","Wheat","Summer","1907.00","1560.00"
"Odisha","Boudh","Wheat","Total","1907.00","1560.00"
"Odisha","Boudh","Maize","Kharif","780.00","718.00"
"Odisha","Boudh","Maize","Summer","1500.00","2800.00"
"Odisha","Boudh","Maize","Total","784.00","728.00"
"Odisha","Boudh","Ragi","Kharif","200.00",""
"Odisha","Boudh","Ragi","Total","200.00",""
"Odisha","Boudh","Shree Anna /Nutri Cereals","Kharif","200.00",""
"Odisha","Boudh","Shree Anna /Nutri Cereals","Total","200.00",""
"Odisha","Boudh","Nutri/Coarse Cereals","Kharif","777.00","718.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Summer","1500.00","2800.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Total","781.00","728.00"
"Odisha","Boudh","Cereals","Kharif","1133.00","1372.00"
"Odisha","Boudh","Cereals","Rabi","1864.00","2396.00"
"Odisha","Boudh","Cereals","Summer","1998.00","2993.00"
"Odisha","Boudh","Cereals","Total","1791.00","2316.00"
"Odisha","Boudh","Urad","Kharif","125.00","225.00"
"Odisha","Boudh","Urad","Rabi","213.00","200.00"
"Odisha","Boudh","Urad","Summer","","167.00"
"Odisha","Boudh","Urad","Total","212.00","190.00"
"Odisha","Boudh","Moong","Kharif","191.00","187.00"
"Odisha","Boudh","Moong","Rabi","223.00","193.00"
"Odisha","Boudh","Moong","Summer","214.00","204.00"
"Odisha","Boudh","Moong","Total","214.00","194.00"
"Odisha","Boudh","Other Pulses","Rabi","240.00","230.00"
"Odisha","Boudh","Other Pulses","Total","240.00","230.00"
"Odisha","Boudh","Total Pulses","Total","224.00","212.00"
"Odisha","Boudh","Total Food Grains","Kharif","1078.00","1293.00"
"Odisha","Boudh","Total Food Grains","Rabi","1780.00","2268.00"
